acousticness	analysis_url	danceability	duration_ms	energy	id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence	artist	title	rating
0.962	https://api.spotify.com/v1/audio-analysis/5Z0yP7nqSVpedq48IqLZC2	0.802	220507.0	0.101	5Z0yP7nqSVpedq48IqLZC2	0.0	9.0	0.103	-13.208	1.0	0.0407	109.029	4.0	https://api.spotify.com/v1/tracks/5Z0yP7nqSVpedq48IqLZC2	audio_features	spotify:track:5Z0yP7nqSVpedq48IqLZC2	0.37	Adele	Daydreamer	GOOD
0.675	https://api.spotify.com/v1/audio-analysis/0oaJJUIvKpy7xHPEPr5q7Y	0.577	258507.0	0.317	0oaJJUIvKpy7xHPEPr5q7Y	0.0	4.0	0.107	-10.935	0.0	0.28	92.184	4.0	https://api.spotify.com/v1/tracks/0oaJJUIvKpy7xHPEPr5q7Y	audio_features	spotify:track:0oaJJUIvKpy7xHPEPr5q7Y	0.602	Adele	Best for Last	GOOD
0.318	https://api.spotify.com/v1/audio-analysis/2OuNgtXKeCSORKqdl0MxKk	0.614	210507.0	0.471	2OuNgtXKeCSORKqdl0MxKk	0.0	5.0	0.11	-6.087	0.0	0.0256	80.024	4.0	https://api.spotify.com/v1/tracks/2OuNgtXKeCSORKqdl0MxKk	audio_features	spotify:track:2OuNgtXKeCSORKqdl0MxKk	0.32	Adele	Chasing Pavements	GOOD
0.00227	https://api.spotify.com/v1/audio-analysis/052itqSo15JRkOhyqMdVl8	0.649	191867.0	0.812	052itqSo15JRkOhyqMdVl8	0.0	11.0	0.131	-5.355	0.0	0.0464	109.973	4.0	https://api.spotify.com/v1/tracks/052itqSo15JRkOhyqMdVl8	audio_features	spotify:track:052itqSo15JRkOhyqMdVl8	0.34	Adele	Cold Shoulder	GOOD
0.913	https://api.spotify.com/v1/audio-analysis/0zAbTI9UGhiIhgVasVuVoh	0.714	208040.0	0.137	0zAbTI9UGhiIhgVasVuVoh	1.11e-06	7.0	0.105	-12.316	1.0	0.0493	85.994	3.0	https://api.spotify.com/v1/tracks/0zAbTI9UGhiIhgVasVuVoh	audio_features	spotify:track:0zAbTI9UGhiIhgVasVuVoh	0.326	Adele	Crazy for You	GOOD
0.341	https://api.spotify.com/v1/audio-analysis/7wnC64YPj2YH2oHYBmCzHt	0.5	203907.0	0.391	7wnC64YPj2YH2oHYBmCzHt	0.0	11.0	0.223	-7.09	0.0	0.0292	80.486	4.0	https://api.spotify.com/v1/tracks/7wnC64YPj2YH2oHYBmCzHt	audio_features	spotify:track:7wnC64YPj2YH2oHYBmCzHt	0.226	Adele	Melt My Heart to Stone	GOOD
0.985	https://api.spotify.com/v1/audio-analysis/3d2DyIigzomibwlVgobyxO	0.686	190280.0	0.11	3d2DyIigzomibwlVgobyxO	0.00405	0.0	0.0898	-13.464	1.0	0.0336	81.412	4.0	https://api.spotify.com/v1/tracks/3d2DyIigzomibwlVgobyxO	audio_features	spotify:track:3d2DyIigzomibwlVgobyxO	0.346	Adele	First Love	GOOD
0.77	https://api.spotify.com/v1/audio-analysis/1ARkKt39O6WQqE0QEpZntu	0.842	197347.0	0.676	1ARkKt39O6WQqE0QEpZntu	0.0	1.0	0.0891	-5.88	1.0	0.0852	137.192	4.0	https://api.spotify.com/v1/tracks/1ARkKt39O6WQqE0QEpZntu	audio_features	spotify:track:1ARkKt39O6WQqE0QEpZntu	0.92	Adele	Right As Rain	GOOD
0.907	https://api.spotify.com/v1/audio-analysis/0mqTcM8kuu2IYPotMt7AzS	0.552	212040.0	0.173	0mqTcM8kuu2IYPotMt7AzS	0.000401	10.0	0.105	-10.576	1.0	0.0292	76.97	1.0	https://api.spotify.com/v1/tracks/0mqTcM8kuu2IYPotMt7AzS	audio_features	spotify:track:0mqTcM8kuu2IYPotMt7AzS	0.0854	Adele	Make You Feel My Love	GOOD
0.5	https://api.spotify.com/v1/audio-analysis/5SaZaoRLPVZDkcDd1szp04	0.775	195653.0	0.59	5SaZaoRLPVZDkcDd1szp04	0.0	4.0	0.141	-7.501	0.0	0.147	126.516	4.0	https://api.spotify.com/v1/tracks/5SaZaoRLPVZDkcDd1szp04	audio_features	spotify:track:5SaZaoRLPVZDkcDd1szp04	0.697	Adele	My Same	GOOD
0.193	https://api.spotify.com/v1/audio-analysis/6MFsT6EQiCoYDuXsIqIdUn	0.801	258853.0	0.658	6MFsT6EQiCoYDuXsIqIdUn	0.000516	11.0	0.094	-6.306	1.0	0.048	96.993	4.0	https://api.spotify.com/v1/tracks/6MFsT6EQiCoYDuXsIqIdUn	audio_features	spotify:track:6MFsT6EQiCoYDuXsIqIdUn	0.539	Adele	Tired	GOOD
0.964	https://api.spotify.com/v1/audio-analysis/0p6GeAWS4VCZddxNbBtEss	0.445	271227.0	0.337	0p6GeAWS4VCZddxNbBtEss	7.36e-05	10.0	0.105	-8.536	0.0	0.0368	122.6	4.0	https://api.spotify.com/v1/tracks/0p6GeAWS4VCZddxNbBtEss	audio_features	spotify:track:0p6GeAWS4VCZddxNbBtEss	0.217	Adele	Hometown Glory	GOOD
0.912	https://api.spotify.com/v1/audio-analysis/5gcj6l37gMBeSAjFnSKeWh	0.453	232200.0	0.257	5gcj6l37gMBeSAjFnSKeWh	0.0	0.0	0.669	-9.499	0.0	0.0373	155.21	4.0	https://api.spotify.com/v1/tracks/5gcj6l37gMBeSAjFnSKeWh	audio_features	spotify:track:5gcj6l37gMBeSAjFnSKeWh	0.24	Adele	Chasing Pavements (Live at Hotel Cafe)	GOOD
0.902	https://api.spotify.com/v1/audio-analysis/4oBK56KVXFTvFNjDRUJ0yM	0.417	201867.0	0.164	4oBK56KVXFTvFNjDRUJ0yM	0.0	11.0	0.524	-9.005	0.0	0.04	161.644	4.0	https://api.spotify.com/v1/tracks/4oBK56KVXFTvFNjDRUJ0yM	audio_features	spotify:track:4oBK56KVXFTvFNjDRUJ0yM	0.21	Adele	Melt My Heart to Stone (Live at Hotel Cafe)	GOOD
0.842	https://api.spotify.com/v1/audio-analysis/2ExuB0nPf6tbPuqi1NmEb2	0.601	127507.0	0.336	2ExuB0nPf6tbPuqi1NmEb2	0.0	0.0	0.681	-8.702	1.0	0.0674	144.735	4.0	https://api.spotify.com/v1/tracks/2ExuB0nPf6tbPuqi1NmEb2	audio_features	spotify:track:2ExuB0nPf6tbPuqi1NmEb2	0.675	Adele	That's It, I Quit, I'm Movin' On (Live at Hotel Cafe)	GOOD
0.957	https://api.spotify.com/v1/audio-analysis/5e0yhLq9wgRWdWnNzRfl5c	0.568	223400.0	0.0844	5e0yhLq9wgRWdWnNzRfl5c	0.0	9.0	0.693	-12.401	0.0	0.0354	80.151	4.0	https://api.spotify.com/v1/tracks/5e0yhLq9wgRWdWnNzRfl5c	audio_features	spotify:track:5e0yhLq9wgRWdWnNzRfl5c	0.487	Adele	Crazy for You (Live at Hotel Cafe)	GOOD
0.818	https://api.spotify.com/v1/audio-analysis/2Nj5jhkFw5Wczc6XjplE03	0.718	212027.0	0.33	2Nj5jhkFw5Wczc6XjplE03	0.0	6.0	0.685	-8.844	1.0	0.0651	132.731	4.0	https://api.spotify.com/v1/tracks/2Nj5jhkFw5Wczc6XjplE03	audio_features	spotify:track:2Nj5jhkFw5Wczc6XjplE03	0.769	Adele	Right as Rain (Live at Hotel Cafe)	GOOD
0.818	https://api.spotify.com/v1/audio-analysis/74Q83mcnaLhKoMvqPFhtRa	0.695	185440.0	0.384	74Q83mcnaLhKoMvqPFhtRa	0.0	2.0	0.977	-8.141	1.0	0.229	136.167	4.0	https://api.spotify.com/v1/tracks/74Q83mcnaLhKoMvqPFhtRa	audio_features	spotify:track:74Q83mcnaLhKoMvqPFhtRa	0.731	Adele	My Same (Live at Hotel Cafe)	GOOD
